Month,Day,Hour,Wind Speed,Temperature,Radiation
1,1,7,0.504,21.843,101.440
1,1,8,1.895,24.143,334.734
1,1,9,3.135,25.982,550.151
1,1,10,3.454,27.904,719.302
1,1,11,3.466,28.838,641.084
1,1,12,3.081,29.706,689.384
1,1,13,3.145,29.824,421.575
1,1,14,3.094,29.993,484.147
1,1,15,3.235,30.376,460.492
1,1,16,4.056,29.626,217.215
1,1,17,3.934,28.445,77.840
1,2,7,1.672,23.202,121.020
1,2,8,2.942,24.885,331.828
1,2,9,3.348,26.470,510.687
1,2,10,3.164,27.744,621.313
1,2,11,3.070,28.780,738.889
1,2,12,3.006,29.999,803.896
1,2,13,2.608,31.066,690.810
1,2,14,2.349,31.745,620.253
1,2,15,2.350,32.211,503.036
1,2,16,3.015,31.969,267.173
1,2,17,4.403,29.700,67.557
1,3,7,0.965,22.275,126.275
1,3,8,2.314,24.701,345.095
1,3,9,2.434,26.424,559.788
1,3,10,2.243,27.642,710.868
1,3,11,2.782,29.122,837.666
1,3,12,2.939,30.284,864.031
1,3,13,3.218,31.421,817.081
1,3,14,3.299,32.240,692.363
1,3,15,3.679,32.509,508.263
1,3,16,3.686,32.032,278.906
1,3,17,3.843,29.813,67.576
1,4,7,0.539,20.813,119.073
1,4,8,1.890,24.075,339.844
1,4,9,2.051,25.808,556.945
1,4,10,2.117,27.152,725.262
1,4,11,2.192,28.245,817.006
1,4,12,2.610,29.430,848.910
1,4,13,2.747,30.323,789.029
1,4,14,2.728,30.799,663.206
1,4,15,3.061,30.749,471.253
1,4,16,3.425,30.298,256.476
1,4,17,3.636,29.088,62.255
1,5,7,0.533,21.308,97.252
1,5,8,1.483,23.734,290.528
1,5,9,2.307,25.596,483.202
1,5,10,2.799,26.600,495.681
1,5,11,3.465,27.910,717.624
1,5,12,3.320,28.694,727.703
1,5,13,3.470,29.707,654.961
1,5,14,3.239,30.142,500.643
1,5,15,3.432,30.280,396.015
1,5,16,3.634,29.861,228.878
1,5,17,3.844,28.785,59.981
1,6,7,0.574,20.818,98.624
1,6,8,1.608,23.716,290.822
1,6,9,2.304,25.497,507.896
1,6,10,2.618,27.218,711.901
1,6,11,2.681,28.413,689.828
1,6,12,3.189,29.336,861.117
1,6,13,2.899,30.528,807.709
1,6,14,3.135,31.372,675.193
1,6,15,3.280,31.219,473.215
1,6,16,3.876,30.367,246.178
1,6,17,3.492,29.042,62.327
1,7,7,0.752,20.852,91.752
1,7,8,1.232,23.410,245.169
1,7,9,1.592,25.554,438.137
1,7,10,2.149,26.625,580.956
1,7,11,2.200,27.875,734.570
1,7,12,2.387,28.584,751.447
1,7,13,2.016,29.445,751.347
1,7,14,1.902,29.857,604.733
1,7,15,1.731,29.561,354.508
1,7,16,2.262,29.631,219.782
1,7,17,2.412,29.027,60.617
1,8,7,0.530,20.316,98.860
1,8,8,0.972,23.272,299.885
1,8,9,1.993,25.601,515.804
1,8,10,2.716,26.786,699.065
1,8,11,2.551,27.574,750.891
1,8,12,2.720,28.142,706.181
1,8,13,2.518,28.917,587.317
1,8,14,2.457,29.591,543.465
1,8,15,2.999,29.757,454.067
1,8,16,3.630,29.414,262.140
1,8,17,3.621,28.230,69.888
1,9,7,0.462,20.243,116.312
1,9,8,1.101,22.951,335.810
1,9,9,1.925,25.158,557.917
1,9,10,2.129,26.461,719.494
1,9,11,2.282,27.614,841.484
1,9,12,2.386,28.803,876.232
1,9,13,2.577,30.016,831.616
1,9,14,2.091,31.093,707.090
